Target Gift Flag,Control Number,Target Gift Amount,Gift Count 36 Months,Gift Count All Months,Gift Count Card 36 Months,Gift Count Card All Months,Gift Amount Last,Gift Amount Average 36 Months,Gift Amount Average All Months,Gift Amount Average Card 36 Months,Time Since Last Gift,Time Since First Gift,Promotion Count 12 Months,Promotion Count 36 Months,Promotion Count All Months,Promotion Count Card 12 Months,Promotion Count Card 36 Months,Promotion Count Card All Months,Status Category 96NK,Status Category Star All Months,Demographic Cluster,Age,Gender,Home Owner,Median Home Value Region,Percent Veterans Region,Median Income Region,Observation Number
1,37221,6,5,23,3,12,4,6.2,3.96,5,15,125,11,29,63,4,12,25,S,1,8,86,M,U,77500,33,49180,1224
0,37291,.,8,12,5,6,3,5.25,5.17,5.6,18,45,12,30,35,6,15,15,A,1,12,36,F,H,137100,29,46842,1228
1,37342,25,1,1,0,0,25,25,25,.,15,15,9,11,11,3,3,4,E,1,6,61,F,H,80100,29,41764,1230
1,37528,10,3,6,1,3,10,8.33,6.83,5,22,64,12,27,43,6,12,16,A,0,8,.,F,U,82900,6,0,1241
0,37627,.,4,5,3,3,13,11,12.2,10.33,18,33,12,28,28,6,15,13,S,1,4,55,M,U,145800,15,53432,1244
0,37771,.,1,1,1,1,20,20,20,20,19,19,12,17,14,4,6,5,F,0,10,57,M,H,52300,29,21517,1252
1,37852,20,4,6,2,3,20,12.5,10.5,15,17,45,13,34,40,6,16,16,A,0,8,37,M,H,87900,13,35498,1257
1,6555,10,6,91,4,13,10,11.67,6.1,12.5,5,230,39,58,135,9,20,37,S,1,24,79,M,H,312500,19,107323,1259
0,37944,.,2,9,1,5,25,25,16.33,25,21,76,13,33,61,6,16,23,A,1,23,83,F,H,359700,28,56735,1262
0,37998,.,1,1,1,1,20,20,20,20,16,16,12,17,14,5,7,6,F,0,11,66,M,H,141700,24,107958,1264
1,36690,3,2,4,2,3,15,13,10,13,24,50,11,26,38,5,11,14,A,0,13,.,F,U,163100,0,0,1265
0,38064,.,2,29,1,14,10,10,7.9,10,18,123,14,34,78,5,14,30,A,1,32,80,F,H,47100,37,52780,1267
0,38202,.,5,10,2,5,12,10.4,8.9,10,19,57,14,36,50,6,17,21,S,1,6,76,M,H,102200,7,46722,1275
1,38392,20,2,2,0,0,20,20,20,.,18,32,10,24,22,4,4,9,A,0,6,63,F,H,111900,7,52147,1286
1,13239,3,7,12,5,6,3,3.14,2.92,3.2,17,41,26,43,51,6,15,16,A,1,23,68,M,H,308300,31,41607,1293
0,38554,.,2,3,1,1,10,9,9.33,8,15,17,11,15,14,5,7,6,N,0,3,.,M,U,192900,30,0,1296
0,38663,.,3,10,1,5,10,11.33,9,12,19,93,13,33,63,6,15,24,S,1,19,51,F,H,90000,13,40708,1303
1,38664,30,1,1,1,1,30,30,30,30,17,17,11,16,14,5,7,6,F,0,11,65,M,H,102500,15,56250,1304
0,38857,.,1,1,1,1,50,50,50,50,17,17,11,16,14,5,7,6,F,0,10,23,F,U,41900,11,27793,1313
1,38924,20,2,2,1,1,20,15,15,10,18,33,10,25,23,4,10,9,A,0,8,65,M,H,74000,22,32229,1317
1,38944,25,1,6,1,5,25,25,16.33,25,17,105,14,32,63,6,15,26,A,1,8,40,M,H,80900,20,32229,1318
1,39031,15,2,7,1,4,10,15,7.86,20,16,77,13,28,48,5,11,17,A,0,2,43,F,U,120000,43,60584,1323
1,39257,25,2,8,2,4,20,15,9.25,15,16,68,14,31,54,6,14,19,A,0,18,27,U,H,109300,37,59874,1329
0,39289,.,3,32,3,17,15,10.33,6.91,10.33,21,124,13,31,78,6,16,32,A,1,34,68,F,U,136300,27,0,1332
1,39479,4,10,26,5,13,4,4.6,4.11,4,15,124,11,33,73,6,17,31,S,1,27,64,M,H,128700,28,46332,1340
1,39613,5,3,14,1,6,10,14,9.69,14,18,111,13,34,66,6,16,27,A,0,21,41,F,H,70100,29,49518,1343
0,39632,.,6,18,4,10,10,8.83,7.22,8.25,20,80,13,32,63,6,16,24,S,1,35,58,F,H,164500,26,76873,1346
1,39770,20,4,5,2,2,10,12.5,11,15,20,40,12,32,34,6,15,14,A,0,12,.,F,U,134200,31,61343,1348
1,39967,75,1,1,1,1,50,50,50,50,24,24,11,22,20,6,11,9,N,0,28,67,M,U,128900,45,52974,1356
1,189749,10,4,15,3,10,11,10.75,9,10.67,4,68,10,18,33,4,8,14,E,1,17,75,M,U,109300,24,59226,1357
1,40105,23,2,9,0,1,15,19,15,.,17,68,13,32,54,6,6,21,A,0,21,51,F,H,70000,23,40925,1360
1,190377,24,4,19,2,9,24,24.5,17.89,24.5,16,106,4,12,40,2,6,19,E,0,0,.,F,U,72000,0,0,1362
0,10812,.,6,26,4,11,14,14.33,11.77,14.5,5,75,31,50,90,7,18,26,S,1,28,.,M,U,84700,34,0,1370
1,40520,10,2,13,1,7,10,11,9.54,10,18,105,13,33,69,6,15,25,S,1,13,86,F,H,96500,43,44404,1372
1,40338,21,3,5,2,3,15,15.33,12.4,15.5,26,41,10,32,35,5,16,15,A,1,18,28,F,U,90200,28,0,1375
0,185153,.,2,4,2,2,25,260,138.75,260,5,29,39,53,52,6,13,11,A,0,0,.,F,U,80200,0,0,1379
0,40383,.,3,8,0,2,7,8,6.38,.,15,74,12,31,45,6,6,17,A,0,29,84,F,H,72400,53,64434,1383
1,40421,5,8,26,6,12,24,7.38,6.27,5,18,68,14,34,59,6,17,22,S,1,24,58,M,H,127000,41,69558,1385
0,40501,.,1,1,1,1,20,20,20,20,17,17,10,15,13,4,6,5,F,0,13,67,M,H,325000,56,79524,1387
1,2085,20,6,13,4,8,20,19.67,19.31,20.75,7,64,27,49,85,11,22,31,A,1,27,52,M,H,85200,41,55882,1394
0,40845,.,1,1,1,1,20,20,20,20,17,17,10,15,13,4,6,5,F,0,40,.,F,H,88300,34,64275,1401
0,13424,.,7,25,4,10,10,10.57,9.08,10.5,18,74,28,49,80,6,17,25,S,1,12,.,F,U,96100,29,0,1402
0,40977,.,1,9,0,5,25,25,11.44,.,18,122,13,29,62,6,6,27,A,1,36,59,F,H,70000,34,52299,1409
0,41332,.,1,7,1,6,20,20,15.71,20,21,104,12,31,66,6,15,25,A,1,25,.,F,U,55000,14,0,1429
1,41445,35,1,2,0,0,20,20,17.5,.,26,35,9,25,24,4,4,10,A,0,12,45,M,H,100700,26,61534,1436
0,41463,.,1,1,0,0,20,20,20,.,20,20,10,17,14,4,4,6,F,0,21,43,F,H,32500,19,35460,1437
1,41545,5,4,19,2,9,5,6.5,5.79,7,15,105,13,29,64,5,12,25,S,1,18,.,M,U,65800,25,0,1439
1,41569,18,3,6,1,2,18,14.33,10,16,17,53,15,36,45,6,16,18,A,0,3,72,F,H,107900,11,82495,1443
1,40786,5,3,16,1,9,5,5.67,11.38,5,18,91,13,31,59,5,13,22,S,1,37,72,M,H,116300,42,0,1448
1,57017,20,1,1,1,1,20,20,20,20,23,23,10,17,15,3,6,5,N,0,36,.,F,U,48400,41,0,1453
0,41922,.,2,2,1,1,60,55,55,60,16,20,14,21,20,6,9,7,N,0,5,.,U,U,59800,37,0,1457
0,41839,.,6,22,4,12,10,6.83,6.36,6.25,18,126,9,26,68,4,13,28,S,1,10,87,F,H,59300,54,40993,1462
0,42021,.,2,2,0,0,20,12.5,12.5,.,20,31,11,22,22,4,4,7,A,0,10,39,M,H,42900,35,32350,1472
1,45008,10,3,10,1,5,20,18.33,10.9,15,16,65,13,35,54,6,17,21,A,1,8,51,F,H,65100,43,40114,1476
0,45065,.,3,4,3,4,25,19,15.5,19,16,41,13,33,35,6,16,15,A,1,29,.,F,U,60100,40,45905,1477
0,45047,.,2,13,1,4,15,15,14.31,15,19,86,13,33,66,6,15,24,S,1,10,65,F,U,58400,37,45905,1478
1,8330,5,1,11,0,5,5,5,5.73,.,5,92,24,41,70,4,4,17,A,0,29,72,F,H,74200,49,43877,1482
1,45351,25,2,4,1,2,20,24.5,26,20,20,52,13,34,45,6,17,20,A,0,28,68,F,U,96900,45,0,1494
0,12955,.,4,15,2,7,11,10.75,8.67,11.5,17,86,20,40,71,6,16,23,S,1,29,70,M,U,88000,49,0,1495
1,45367,30,1,1,1,1,25,25,25,25,23,23,10,20,19,4,8,7,N,0,2,32,M,U,117200,38,0,1496
1,42176,10,5,20,2,9,5,6,6.1,5,16,121,7,20,53,4,11,22,S,1,26,83,F,H,75900,40,49133,1502
0,42206,.,1,8,1,4,15,15,9.38,15,17,77,13,32,52,6,15,20,A,0,40,38,F,H,81000,36,63299,1504
1,42291,15,2,19,1,9,15,12.5,10.53,10,19,130,13,35,76,6,17,32,A,1,48,.,M,U,56800,48,0,1505
0,42336,.,4,15,2,9,6,6.25,5.22,6,17,114,11,31,64,5,14,28,S,1,36,48,F,U,63500,37,0,1507
0,1264,.,1,2,1,1,15,15,10,15,23,56,8,19,24,3,8,9,N,0,28,71,M,H,68900,41,36042,1515
0,42478,.,1,3,0,0,15,15,12.33,.,18,52,11,22,31,4,4,11,A,0,40,73,F,H,42400,42,44003,1518
1,42543,20,4,4,2,2,14,8.75,8.75,8,18,27,16,29,27,6,12,10,A,1,46,.,M,U,41900,16,34330,1523
0,42574,.,1,10,1,6,15,15,11.3,15,20,101,11,26,63,4,10,26,A,1,22,68,F,H,81900,51,39664,1525
0,11543,.,3,13,3,5,20,16.33,13.46,16.33,17,56,23,43,71,6,17,21,A,1,28,59,F,H,58600,43,36879,1527
1,33190,11,4,25,2,13,12,10.75,7.16,11,21,102,14,33,71,6,15,27,S,1,24,44,F,U,101000,40,0,1529
0,42618,.,3,13,1,7,15,11,7,15,21,122,13,34,67,6,16,27,A,1,28,77,F,H,78700,44,55303,1530
0,10895,.,2,10,0,2,25,22.5,13.1,.,18,65,20,37,65,4,4,18,A,0,28,72,M,H,75000,40,46780,1533
0,42940,.,3,9,3,7,11,10.33,9.22,10.33,21,53,12,22,29,5,10,12,S,1,34,75,F,H,353000,42,174305,1545
1,43013,20,1,5,0,4,20,20,12.4,.,19,93,11,22,50,4,4,18,A,0,49,75,F,U,69700,26,35119,1549
0,43011,.,7,11,4,6,20,14.57,14.45,13,16,89,14,35,56,6,16,22,A,0,49,61,M,H,78300,18,35119,1550
1,70144,15,3,12,0,6,21,17,13.58,.,20,115,13,34,74,6,6,29,S,1,21,80,F,U,58500,34,39015,1551
1,43020,15,1,1,1,1,15,15,15,15,24,24,7,17,15,3,7,6,N,0,28,.,F,U,73600,48,0,1552
0,43071,.,2,11,2,8,11,11,8.45,11,19,86,13,24,42,6,12,19,A,1,37,45,F,H,70800,42,0,1553
0,189309,.,5,18,1,5,1,14,8.22,20,4,64,14,35,53,6,17,21,A,1,28,73,F,U,71400,44,41061,1555
0,43549,.,1,4,0,1,15,15,11.75,.,18,56,11,28,39,5,5,15,A,0,10,.,M,U,0,0,0,1565
1,43101,10,4,19,2,9,15,18.25,19,18,16,109,9,24,62,4,13,27,S,1,23,48,F,U,237900,38,0,1567
1,43119,9,3,4,2,2,6,6.33,6.25,4.5,17,28,13,26,26,6,12,10,A,0,28,.,F,U,84500,37,73831,1569
1,43126,5,7,8,5,5,5,4.86,4.88,4.6,16,32,13,30,29,6,14,12,A,1,28,48,F,U,84500,37,0,1571
1,43321,25,1,1,1,1,25,25,25,25,21,21,12,19,17,4,7,6,N,0,23,74,U,U,145200,52,0,1575
1,42970,3,6,14,5,9,4,4.5,4.43,4.4,16,65,9,25,42,5,15,19,A,1,37,.,M,U,88400,50,0,1577
1,43001,15,1,1,0,0,15,15,15,.,15,15,7,9,9,2,2,3,E,0,28,.,F,U,116700,37,0,1578
1,43066,15,2,4,0,2,15,13,9.5,.,18,53,12,31,38,6,6,16,A,0,40,45,M,U,154400,32,0,1580
1,43564,20,1,1,1,1,20,20,20,20,24,24,7,17,15,3,7,6,N,0,28,52,M,H,116500,49,43692,1583
0,126195,.,1,1,0,0,20,20,20,.,15,15,10,14,12,5,5,6,F,0,15,47,F,H,87400,10,43692,1584
0,43748,.,1,6,0,2,25,25,34.17,.,25,110,5,13,38,2,2,19,E,0,28,.,F,U,88800,34,0,1590
0,43862,.,5,27,2,12,12,10.4,5.63,10,18,127,13,35,82,6,17,34,S,1,29,.,F,H,80100,0,42155,1597
0,6064,.,2,13,1,4,20,15,12.31,20,4,119,26,39,74,4,9,13,A,1,30,.,M,H,72600,47,39689,1599
0,43952,.,2,6,1,5,18,17,11,16,26,93,9,28,50,4,12,20,A,1,27,76,F,H,86500,34,50359,1602
1,43949,6,7,14,2,4,5,6,6.71,8,16,86,14,34,63,6,15,23,A,1,28,78,M,H,88100,42,50359,1603
0,42238,.,3,20,2,12,9,7.67,22.8,7,18,111,14,30,66,5,12,25,S,1,50,.,U,U,98900,30,0,1615
1,6443,20,1,13,1,3,25,25,14.69,25,21,93,24,43,85,6,15,18,A,0,37,72,M,H,59500,46,37481,1618
1,591,25,5,12,4,6,20,29,26.25,28.25,16,109,28,48,108,11,22,43,A,1,37,80,M,H,71100,58,37481,1619
1,44336,15,1,1,1,1,15,15,15,15,17,17,10,15,13,4,6,5,F,0,29,32,F,H,94800,53,45651,1627
0,44395,.,4,12,2,5,13,12,8.92,11.5,18,63,13,35,53,6,17,21,A,1,41,71,F,H,58300,37,0,1629
1,44406,10,5,16,3,6,10,6,4.63,5,17,122,13,35,63,6,17,27,A,1,28,58,F,H,94500,47,35641,1630
1,44419,2,3,10,1,4,6,14.67,9.6,13,15,52,18,34,37,7,15,16,A,0,28,.,F,U,72600,56,0,1633
0,36963,.,2,6,2,4,15,10,5.83,10,24,68,6,15,26,4,9,12,A,0,34,.,U,U,81300,47,0,1640
1,44500,5,7,16,4,7,8,9,7.59,8,16,89,15,36,64,6,16,24,A,1,48,52,F,H,68600,49,30640,1641
0,44893,.,4,15,3,10,5,5,3.4,5,17,125,8,18,37,3,7,13,S,1,33,77,F,H,50900,52,36898,1664
0,45442,.,4,7,3,6,15,16.75,18.14,15.67,17,73,13,30,50,6,15,21,A,1,33,85,U,U,49200,49,0,1670
1,45503,5,5,15,1,6,10,7,5.13,5,19,105,13,34,64,6,16,26,S,1,33,60,M,H,61600,42,36911,1672
1,6351,10,2,18,2,10,11,10,7.78,10,17,125,12,30,70,6,15,30,S,1,28,.,M,H,55200,58,48058,1675
0,45810,.,3,8,3,7,25,16.67,11.88,16.67,21,100,14,31,50,6,15,23,A,1,28,84,F,U,90900,42,0,1685
0,12872,.,7,15,5,7,5,5,4.87,5,16,52,20,41,55,6,17,19,A,0,33,.,F,U,51800,50,34699,1690
1,45870,20,3,6,2,3,15,11.67,9.33,12.5,21,80,12,31,47,6,15,18,A,0,33,67,M,H,51800,39,34699,1692
1,45258,5,3,4,1,1,10,10,10,10,15,23,14,22,19,6,10,8,N,0,8,52,F,U,51800,42,0,1693
0,9218,.,4,28,4,20,16,15,9.25,15,18,126,13,33,92,6,17,34,A,1,37,81,M,H,70500,43,43072,1700
1,27280,3,7,9,3,3,6,5.29,5,6,18,32,13,30,31,6,14,12,A,0,25,.,U,U,62400,26,0,1701
0,46223,.,2,2,1,1,25,17.5,17.5,10,20,21,13,21,18,6,10,8,N,0,37,60,F,H,77800,52,38184,1716
1,12880,10,7,13,3,4,10,7.14,7.85,6,4,41,31,52,57,8,18,17,A,1,23,83,M,H,144200,52,59035,1720
0,46305,.,2,4,1,3,7,7,7.25,7,16,44,8,18,20,4,9,10,A,0,28,69,M,H,69300,35,40896,1724
1,46358,9,7,15,5,9,11,10.29,7.47,10.8,18,88,14,33,58,6,16,23,S,1,39,79,M,H,71500,32,46679,1725
1,46495,15,2,7,1,4,20,20,17.71,20,24,62,12,32,48,6,16,21,A,1,28,67,F,H,88000,45,41426,1734
1,46560,5,3,11,1,6,15,12.33,9.36,15,17,77,12,32,57,6,15,22,S,1,34,39,M,H,193000,33,71429,1735
1,46671,10,2,11,0,6,25,22.5,9.82,.,18,115,13,33,70,6,6,29,A,0,35,40,M,H,74600,25,62714,1742
1,46687,10,3,26,2,11,5,5,5.12,5,17,130,12,28,71,5,11,28,S,1,36,.,F,U,41300,29,38339,1743
0,15015,.,4,9,3,7,9,7.75,7.56,8,20,89,6,14,34,2,6,15,E,1,49,.,F,U,55500,41,0,1751
1,46957,10,2,3,2,3,10,7.5,6,7.5,15,21,10,16,15,4,7,6,N,1,53,79,F,H,48200,30,38497,1753
0,47055,.,1,1,1,1,15,15,15,15,16,16,10,15,12,4,6,5,F,0,36,34,M,U,50800,28,37091,1757
0,47169,.,4,8,2,3,13,10.75,10,12,16,42,14,35,38,6,16,15,A,0,32,83,F,H,36800,28,22728,1762
0,13111,.,2,9,0,3,10,13.5,10.44,.,11,104,24,42,66,4,4,20,A,1,32,61,M,H,37500,30,34364,1763
0,47280,.,3,15,1,8,10,10,7.4,10,17,128,13,33,67,6,15,28,S,1,32,73,F,U,46400,28,41842,1769
0,47283,.,1,1,1,1,20,20,20,20,24,24,7,17,15,3,7,6,N,0,17,59,M,U,56600,33,44876,1772
1,47385,15,1,1,1,1,15,15,15,15,17,17,10,14,12,4,6,5,F,0,13,37,M,H,243200,48,118275,1775
1,47531,15,1,6,0,2,15,15,10.67,.,26,65,9,28,49,4,4,19,A,1,25,43,F,H,52300,25,27410,1785
1,47525,20,3,3,0,0,18,14,14,.,15,32,11,29,27,5,5,12,A,0,32,61,M,H,34900,23,27410,1786
1,47738,12,2,12,0,8,13,12,8.17,.,19,88,8,22,54,4,4,20,S,1,51,73,F,H,41900,29,35731,1794
1,47827,10,4,16,1,9,10,10,8.63,10,19,124,15,35,77,6,16,32,A,1,49,43,M,H,57000,31,41040,1795
1,47810,7,4,14,3,6,6,5.5,4.5,5.33,16,56,13,34,48,6,16,19,A,1,43,.,F,U,46500,19,0,1797
0,47991,.,1,1,1,1,25,25,25,25,17,17,13,18,16,5,7,6,F,0,51,.,M,U,36200,23,30214,1806
0,48293,.,1,8,0,5,50,50,25.88,.,18,65,13,35,56,6,6,22,A,1,22,51,M,H,77800,22,31878,1824
0,48365,.,2,14,0,7,10,10,7.64,.,19,103,13,33,66,6,6,27,S,1,36,62,M,H,39200,33,38389,1828
1,131537,7,6,9,4,4,5,9.33,8.44,9.5,16,35,14,32,32,6,15,13,A,1,27,.,F,U,40800,40,0,1831
1,48455,8,8,12,6,8,10,7.38,6.33,6.83,16,44,9,28,34,4,14,14,A,1,51,.,M,U,38700,20,34970,1832
0,48516,.,1,2,1,2,16,16,13,16,18,41,11,25,27,4,9,9,A,0,36,.,F,H,46300,25,35060,1838
0,48567,.,1,1,1,1,20,20,20,20,23,23,8,18,16,3,7,6,N,0,40,76,M,H,79500,33,57220,1842
1,190746,11,5,7,3,3,10,11.8,10.71,10.67,18,32,12,31,29,6,15,13,A,1,35,60,M,U,71000,43,57220,1843
1,186013,15,4,12,1,4,15,12,9.5,13,10,99,22,39,67,7,15,25,A,1,39,77,F,H,55400,40,45691,1844
0,48631,.,1,1,1,1,25,25,25,25,16,16,11,16,14,5,7,6,F,0,43,75,F,H,48300,29,41650,1848
0,10018,.,1,8,0,3,0,10,10.63,.,5,69,34,52,72,5,5,14,A,1,24,81,F,U,106600,16,0,1851
1,49722,3,6,14,3,7,4,3.83,3.5,3.67,18,57,7,23,44,4,12,15,S,1,46,.,F,U,133200,39,0,1857
0,48876,.,1,1,0,0,20,20,20,.,20,20,10,17,15,4,4,6,F,0,51,49,F,H,34700,22,33333,1861
1,48913,4,12,16,7,8,6,4.58,4.31,5,19,41,12,33,35,6,16,15,S,1,43,62,U,U,43300,11,0,1862
0,48998,.,4,4,2,2,8,8.25,8.25,9,17,33,11,26,26,5,12,10,A,0,43,.,M,H,38200,26,35598,1865
1,186396,20,1,7,1,4,25,20,13.14,20,8,75,16,36,55,6,15,20,A,0,36,54,M,H,67900,35,44611,1867
0,49071,.,1,1,1,1,25,25,25,25,19,19,12,17,15,4,6,5,F,0,49,.,M,H,42500,40,41462,1869
1,4320,15,4,6,3,4,16,12.75,11,11.67,15,45,14,34,55,6,15,14,A,1,40,17,F,U,73800,35,68684,1882
1,4847,10,1,15,1,8,20,20,6.27,20,21,131,14,30,83,6,13,30,A,1,48,.,F,U,70700,53,41408,1889
0,49408,.,5,11,2,5,13,11.4,9.64,12.5,16,111,18,34,67,6,13,26,A,0,30,71,M,H,40700,37,30793,1891
1,49519,5,4,16,3,10,5,5.5,6.5,5,16,92,7,19,46,3,9,18,S,1,21,57,M,H,46400,38,45096,1895
0,49614,.,2,3,0,1,15,12.5,9.33,.,15,42,8,21,24,2,2,8,E,0,50,.,F,U,27100,12,26583,1901
1,50003,10,4,21,2,12,10,9.5,7.62,9,17,130,13,34,76,6,16,32,S,1,39,70,F,H,59100,34,39668,1917
0,50403,.,3,30,2,19,3,5,3.27,5,16,122,7,19,63,3,9,27,S,1,20,78,F,H,74200,62,41864,1932
0,50495,.,1,6,0,1,25,25,17.5,.,18,67,13,32,52,6,6,21,A,0,31,60,F,H,47600,17,47396,1937
1,50570,10,4,4,4,4,10,10,10,10,16,29,14,28,27,6,14,12,A,1,51,.,M,H,30800,18,33472,1939
1,9537,35,2,9,2,6,15,27.5,19.22,27.5,8,121,27,46,87,7,16,28,L,1,40,54,F,H,75300,38,53357,1940
0,50639,.,2,5,0,2,20,22.5,15,.,15,104,12,29,55,5,5,22,A,0,39,.,F,H,71300,32,53357,1941
0,50715,.,4,7,3,4,20,17,15.43,16,26,40,10,31,35,5,15,14,A,1,32,33,F,H,51300,17,21624,1945
0,50890,.,1,1,1,1,20,20,20,20,17,17,10,15,13,4,6,5,F,0,25,30,F,U,74000,20,52096,1954
1,51469,10,5,6,3,3,10,8.2,7.33,7.67,15,29,14,27,25,6,12,10,A,1,25,43,F,H,61600,34,27700,1976
1,51528,5,5,14,3,9,5,6,6.07,5,16,125,14,31,63,6,14,27,A,1,28,60,F,H,47200,34,41993,1982
1,51692,15,5,20,3,12,5,10,10.6,13.33,18,130,8,27,69,4,15,31,S,1,34,71,F,H,82900,35,41558,1988
1,51683,5,5,10,4,6,5,5,5,5,15,53,12,29,42,6,16,18,S,1,25,.,M,H,69000,0,41558,1990
0,51701,.,2,6,1,5,20,15,9.5,10,19,76,11,23,27,4,9,12,A,1,39,.,F,U,52100,28,47969,1992
1,63135,5,6,20,3,8,5,5,4.35,5,17,104,12,33,71,6,17,27,S,1,30,64,F,H,77600,38,44021,1993
0,51892,.,2,9,1,2,20,18.5,10.78,17,20,69,13,35,55,6,17,21,A,0,38,.,F,U,29500,28,0,2008
0,52095,.,6,7,4,4,5,6.17,6,5.5,17,38,12,31,33,6,15,13,A,0,46,.,U,U,83800,38,0,2016
1,52161,5,1,10,1,7,15,15,6.7,15,21,127,10,28,62,4,12,27,A,0,51,67,F,U,32500,9,25185,2019
0,52420,.,1,20,0,11,12,12,2.98,.,20,130,11,28,68,4,4,28,A,1,51,71,M,U,49100,24,31101,2031
1,52574,12,8,23,4,12,10,11.63,8.22,11.5,15,124,14,35,74,6,17,30,S,1,46,52,F,H,61900,35,39065,2042
0,52713,.,4,6,3,4,10,10,9.17,10,19,57,14,30,43,6,13,16,A,1,35,71,M,H,87300,47,37966,2050
1,52729,10,3,6,1,2,10,6.67,5.83,5,18,51,6,20,29,4,10,12,A,0,28,67,F,H,47000,37,31410,2052
1,52990,26,2,18,2,11,10,8.5,5,8.5,16,130,12,25,69,4,9,24,A,1,40,59,M,H,92700,32,62218,2065
0,52998,.,1,12,0,7,15,15,7.5,.,17,122,13,34,70,6,6,31,A,1,40,62,M,H,72900,33,52408,2066
0,53013,.,6,22,3,12,4,5,5,5,15,105,15,36,75,6,17,29,S,1,42,.,F,U,115900,30,61996,2067
0,53086,.,2,4,2,4,25,22.5,21.25,22.5,20,64,13,31,46,6,14,17,A,0,35,48,F,U,131200,27,75325,2071
1,53127,30,3,8,1,6,25,23.33,17.63,25,17,88,12,30,57,6,15,23,S,1,38,.,M,H,57600,22,40107,2075
0,53167,.,3,4,2,2,20,10.67,10.5,6,19,29,12,26,24,6,13,11,A,1,35,45,M,H,89100,43,51586,2077
1,71,16,5,22,4,13,8,8.6,6.82,8.5,9,91,27,41,62,11,18,27,S,1,43,63,F,H,39900,33,39313,2079
1,53295,15,2,2,1,1,15,12.5,12.5,10,26,31,10,24,22,4,10,9,A,0,8,43,F,H,47000,28,25137,2086
1,53329,10,3,15,1,9,12,9,5.6,5,18,126,15,35,68,6,15,29,S,1,32,67,F,H,29900,16,32033,2088
0,53340,.,5,5,2,2,10,8.2,8.2,9.5,18,31,12,25,25,6,11,9,A,0,30,.,F,H,45400,32,38328,2090
0,53509,.,2,2,1,1,17,16,16,15,18,24,12,23,19,6,11,9,N,0,13,75,M,H,166000,36,69526,2099
0,53638,.,6,33,3,17,10,10.33,7.48,10,17,128,13,34,79,6,17,33,S,1,16,49,F,H,57400,35,30220,2102
0,53701,.,2,2,2,2,16,13,13,13,16,24,13,24,21,6,11,9,N,0,18,55,F,H,59100,23,55298,2107
1,53753,30,2,13,0,7,20,20,15.85,.,19,99,13,35,70,6,6,28,A,1,11,44,F,H,123900,37,94790,2108
1,53793,5,2,14,1,9,17,16,7.71,17,20,106,13,35,78,6,17,33,A,1,12,48,F,H,96600,29,56508,2111
0,54026,.,2,7,1,3,25,22.5,27.14,20,19,78,13,31,58,6,15,23,A,0,45,60,M,H,37800,33,43355,2121
0,54041,.,1,3,1,1,15,15,11.67,15,23,44,10,28,32,4,12,13,A,0,43,.,F,U,47400,34,45357,2124
0,54347,.,1,1,0,0,50,50,50,.,16,16,12,17,14,5,5,6,F,0,51,.,F,U,37800,30,0,2138
0,54554,.,1,5,1,2,25,25,23,25,18,44,13,35,40,6,17,17,A,0,21,62,F,H,49300,37,51968,2148
0,54848,.,1,13,0,7,20,20,17.38,.,25,129,12,33,75,6,6,32,A,1,37,64,M,H,50900,42,27307,2163
1,54996,10,2,13,2,7,10,10,8.23,10,20,104,7,15,46,2,6,17,A,1,50,68,M,H,33600,27,23906,2170
0,55006,.,4,4,2,2,10,8.75,8.75,7.5,18,30,15,29,26,6,12,10,A,0,47,.,F,U,38100,24,26500,2171
0,12511,.,6,29,4,16,6,4.83,4.31,4.25,18,120,24,43,88,6,17,32,S,1,23,27,F,H,70700,45,38685,2182
0,55341,.,2,18,1,10,10,7.5,6.28,10,18,121,11,29,70,4,11,27,A,1,21,77,U,H,39600,32,45139,2186
0,55390,.,1,22,1,14,12,12,7.36,12,21,123,11,28,73,5,12,30,A,1,32,50,F,H,26100,18,29867,2191
1,55484,25,2,8,0,4,23,20,12.75,.,18,80,13,34,59,6,6,23,A,1,50,.,M,U,36600,22,0,2197
1,55553,20,1,1,1,1,25,25,25,25,24,24,9,19,17,4,8,7,N,0,47,.,M,U,39400,24,30017,2201
0,56075,.,1,6,1,4,20,20,10.17,20,21,56,13,30,46,6,13,17,A,0,36,64,M,H,35900,25,28268,2214
0,56404,.,1,1,1,1,15,15,15,15,16,16,11,16,13,4,6,5,F,0,45,51,M,H,39500,24,40156,2231
0,56452,.,2,14,1,7,14,14,11.64,14,17,116,13,32,71,6,15,31,S,1,40,68,F,H,71500,36,49810,2237
0,56525,.,6,10,4,5,12,11.17,10,11,16,44,12,33,40,6,17,17,A,1,25,61,M,H,43300,25,47412,2242
0,56609,.,5,6,4,4,4,4.6,4.33,4.75,16,29,12,24,24,6,12,10,A,1,21,63,F,H,40300,38,39233,2245
0,56640,.,2,2,2,2,16,13,13,13,23,29,10,23,23,4,10,9,A,0,21,45,F,H,56900,55,41069,2246
1,56831,15,2,6,1,3,15,11.5,9.17,15,17,45,14,35,39,6,17,17,A,0,14,30,M,H,136800,30,75367,2261
1,56449,5,5,14,4,10,5,5.4,6.93,5.5,15,130,14,28,64,6,13,25,A,1,43,.,F,U,64000,19,0,2263
