ADDRESS,TYPE,SELLERG,REGIONNAME,AREANUM,DISTANCE_INTERVAL,ROOMS,BATHROOM,CAR,LANDSIZE,BUILDINGAR,PRICE_INTERVAL
Garnet St,h,Ray,Northern Metropolitan,1.0,5-10 km,3,1.0,1.0,343.0,1041.0,1M-1.5M
William St,t,Nelson,Northern Metropolitan,1.0,5-10 km,3,1.0,1.0,55.0,111.0,500k-1M
Hall St,h,Walshe,Northern Metropolitan,1.0,5-10 km,4,1.0,0.0,363.0,127.0,1M-1.5M
Louisa St,h,Jellis,Northern Metropolitan,1.0,5-10 km,3,1.0,3.0,308.0,119.0,1M-1.5M
Warburton St,h,Nelson,Northern Metropolitan,1.0,5-10 km,3,1.0,1.0,316.0,132.0,1M-1.5M
Denman St,h,Jellis,Northern Metropolitan,1.0,5-10 km,4,2.0,1.0,460.0,214.0,1M-1.5M
Horne St,h,Nelson,Northern Metropolitan,1.0,5-10 km,3,1.0,1.0,346.0,126.0,1.5M-2M
Lobb St,h,Nelson,Northern Metropolitan,1.0,5-10 km,3,2.0,1.0,4676.0,122.0,500k-1M
Saxon St,u,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,2.0,0.0,89.0,500k-1M
Sydney Rd,u,Nelson,Northern Metropolitan,1.0,5-10 km,1,1.0,1.0,0.0,54.0,300k-500k
Tinning St,h,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,199.0,120.0,500k-1M
Cliff St,h,Collins,Northern Metropolitan,1.0,5-10 km,1,1.0,1.0,147.0,82.0,500k-1M
Glenlyon Rd,h,Nelson,Northern Metropolitan,1.0,5-10 km,3,2.0,1.0,280.0,130.0,1M-1.5M
Gray St,h,Jellis,Northern Metropolitan,1.0,5-10 km,4,2.0,1.0,354.0,199.0,1.5M-2M
Barkly St,h,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,2.0,246.0,103.0,500k-1M
Talbot St,h,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,159.0,157.0,500k-1M
Passfield St,u,Peter,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,69.0,500k-1M
Wales St,h,Nelson,Northern Metropolitan,1.0,5-10 km,3,1.0,1.0,0.0,119.0,1M-1.5M
Walker St,u,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,564.0,60.0,300k-500k
Albion St,u,Walshe,Northern Metropolitan,1.0,5-10 km,1,1.0,1.0,0.0,42.0,0-300k
Pearson St,h,hockingstuart,Northern Metropolitan,1.0,5-10 km,3,1.0,0.0,220.0,93.0,500k-1M
Albion St,h,Woodards,Northern Metropolitan,1.0,5-10 km,5,2.0,2.0,510.0,321.0,1M-1.5M
Egginton St,t,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,85.0,300k-500k
Park St,u,Grantham,Northern Metropolitan,1.0,5-10 km,1,1.0,0.0,0.0,37.0,300k-500k
Yarrabin St,h,Brad,Northern Metropolitan,1.0,5-10 km,3,1.0,2.0,349.0,95.0,500k-1M
Melville Rd,h,Ray,Northern Metropolitan,1.0,5-10 km,3,1.0,0.0,275.0,119.0,500k-1M
Moreland Rd,u,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,73.0,64.0,300k-500k
Albion St,u,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,70.0,300k-500k
Moreland Rd,t,Nelson,Northern Metropolitan,1.0,5-10 km,3,2.0,2.0,262.0,155.0,500k-1M
Pearson St,h,Jellis,Northern Metropolitan,1.0,5-10 km,3,1.0,2.0,364.0,135.0,1M-1.5M
Whitby St,h,Nelson,Northern Metropolitan,1.0,5-10 km,3,1.0,2.0,353.0,101.0,1M-1.5M
Henderson St,h,Raine,Northern Metropolitan,1.0,5-10 km,7,3.0,1.0,447.0,287.0,1M-1.5M
Passfield St,u,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,62.0,300k-500k
Union St,h,Nelson,Northern Metropolitan,1.0,5-10 km,3,1.0,1.0,411.0,168.0,1M-1.5M
Union St,t,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,82.0,500k-1M
Hope St,h,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,177.0,87.0,500k-1M
Murray St,u,Brad,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,75.0,500k-1M
Allard St,u,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,62.0,300k-500k
Moreland Rd,u,Ray,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,2120.0,59.0,300k-500k
Walker St,u,Jellis,Northern Metropolitan,1.0,5-10 km,1,1.0,1.0,0.0,43.0,300k-500k
Heller St,u,hockingstuart/Advantage,Northern Metropolitan,1.0,5-10 km,1,1.0,1.0,0.0,42.0,300k-500k
Albion St,h,Jellis,Northern Metropolitan,1.0,5-10 km,5,2.0,3.0,553.0,193.0,1M-1.5M
Heller St,u,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,501.0,66.0,500k-1M
Morrow St,h,Brad,Northern Metropolitan,1.0,5-10 km,3,1.0,2.0,717.0,141.0,500k-1M
Passfield St,u,Walshe,Northern Metropolitan,1.0,5-10 km,1,1.0,1.0,0.0,45.0,0-300k
Peacock St,h,Ray,Northern Metropolitan,1.0,5-10 km,4,1.0,1.0,575.0,165.0,500k-1M
Jordan St,h,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,2.0,554.0,116.0,1M-1.5M
Melville Rd,u,Nelson,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,65.0,300k-500k
Victoria St,t,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,2.0,120.0,109.0,500k-1M
Wallace St,h,Nelson,Northern Metropolitan,1.0,5-10 km,4,1.0,1.0,589.0,148.0,1M-1.5M
Albion St,u,McDonald,Northern Metropolitan,1.0,5-10 km,1,1.0,1.0,0.0,45.0,0-300k
Park St,h,Jellis,Northern Metropolitan,1.0,5-10 km,4,2.0,2.0,621.0,184.0,1.5M-2M
Hamilton St,h,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,206.0,98.0,500k-1M
Allard St,u,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,65.0,300k-500k
McLean St,u,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,65.0,300k-500k
Victoria St,t,Ray,Northern Metropolitan,1.0,5-10 km,3,1.0,2.0,157.0,123.0,500k-1M
Heller St,h,Nelson,Northern Metropolitan,1.0,5-10 km,4,1.0,2.0,519.0,169.0,1M-1.5M
Victoria St,u,Hodges,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,84.0,300k-500k
Albion St,h,Jellis,Northern Metropolitan,1.0,5-10 km,2,1.0,1.0,0.0,62.0,300k-500k
Melville Rd,h,Nelson,Northern Metropolitan,1.0,5-10 km,2,2.0,1.0,343.0,115.0,500k-1M
Bakers Pde,h,Nelson,Northern Metropolitan,1.0,5-10 km,4,3.0,2.0,499.0,150.0,500k-1M
Elizabeth St,u,Jellis,Eastern Metropolitan,3.0,10-15 km,3,1.0,2.0,385.0,140.0,500k-1M
Robert St,h,Jellis,Eastern Metropolitan,3.0,10-15 km,4,1.0,2.0,717.0,180.0,1M-1.5M
William St,h,Jellis,Eastern Metropolitan,3.0,10-15 km,4,2.0,2.0,556.0,214.0,1M-1.5M
Albany Pl,h,Barry,Eastern Metropolitan,3.0,10-15 km,4,2.0,2.0,670.0,197.0,1M-1.5M
Manningham Rd,h,Barry,Eastern Metropolitan,3.0,10-15 km,3,2.0,2.0,514.0,190.0,500k-1M
Tobruk St,t,Fletchers,Eastern Metropolitan,3.0,10-15 km,3,2.0,2.0,632.0,226.0,500k-1M
Montgomery Pl,h,Barry,Eastern Metropolitan,3.0,10-15 km,3,2.0,1.0,585.0,180.0,500k-1M
Manningham Rd,h,Ray,Eastern Metropolitan,3.0,10-15 km,4,2.0,2.0,723.0,159.0,1M-1.5M
Albany Pl,h,Fletchers,Eastern Metropolitan,3.0,10-15 km,5,3.0,2.0,796.0,304.0,1M-1.5M
Balwyn Rd,h,Barry,Eastern Metropolitan,3.0,10-15 km,3,3.0,2.0,401.0,165.0,500k-1M
Manningham Rd,h,Barry,Eastern Metropolitan,3.0,10-15 km,4,2.0,1.0,1124.0,225.0,1M-1.5M
Estelle St,u,Barry,Eastern Metropolitan,3.0,10-15 km,3,1.0,2.0,306.0,100.0,500k-1M
Kandanga Gr,h,Jellis,Eastern Metropolitan,3.0,10-15 km,3,1.0,1.0,604.0,96.0,1M-1.5M
Bourke St,h,Barry,Eastern Metropolitan,3.0,10-15 km,4,2.0,2.0,475.0,245.0,1M-1.5M
Vera St,h,Fletchers,Eastern Metropolitan,3.0,10-15 km,3,2.0,1.0,728.0,719.0,1M-1.5M
Summit Dr,h,hockingstuart,Eastern Metropolitan,3.0,10-15 km,4,2.0,3.0,672.0,212.0,1M-1.5M
Kampman St,h,McGrath,Eastern Metropolitan,3.0,10-15 km,4,2.0,2.0,744.0,300.0,1M-1.5M
Collins St,h,Barry,Eastern Metropolitan,3.0,10-15 km,3,1.0,2.0,602.0,175.0,500k-1M
Barak St,h,Barry,Eastern Metropolitan,3.0,10-15 km,4,2.0,2.0,693.0,212.0,1M-1.5M
Flinders St,h,Barry,Eastern Metropolitan,3.0,10-15 km,2,1.0,1.0,591.0,140.0,500k-1M
Loudon Rd,h,Jellis,Southern Metropolitan,6.0,10-15 km,5,3.0,2.0,661.0,253.0,1.5M-2M
McCubbin St,h,Ray,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,1145.0,111.0,1.5M-2M
McIntyre St,u,Ray,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,265.0,130.0,1M-1.5M
Station St,h,Buxton,Southern Metropolitan,6.0,10-15 km,3,1.0,1.0,931.0,145.0,1.5M-2M
Elgar Rd,h,Marshall,Southern Metropolitan,6.0,10-15 km,3,1.0,1.0,667.0,136.0,1M-1.5M
Station St,h,Greg,Southern Metropolitan,6.0,10-15 km,3,1.0,1.0,786.0,111.0,1M-1.5M
Wattlebird Ct,h,Fletchers,Southern Metropolitan,6.0,10-15 km,4,3.0,2.0,928.0,229.0,2M-2.5M
Corrigan St,h,Fletchers,Southern Metropolitan,6.0,10-15 km,3,1.0,2.0,318.0,103.0,500k-1M
Greenwood St,h,Jellis,Southern Metropolitan,6.0,10-15 km,4,2.0,1.0,921.0,174.0,1.5M-2M
Conservatory Dr,u,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,1.0,0.0,115.0,500k-1M
McComas Gr,u,Buxton,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,194.0,120.0,500k-1M
Cumming St,h,Ray,Southern Metropolitan,6.0,10-15 km,5,3.0,2.0,326.0,210.0,1M-1.5M
Brockhoff Dr,h,Buxton,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,438.0,210.0,1M-1.5M
Iris St,h,Noel,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,276.0,92.0,500k-1M
Meldan St,h,Fletchers,Southern Metropolitan,6.0,10-15 km,2,1.0,2.0,593.0,82.0,1M-1.5M
Gillard St,h,Ray,Southern Metropolitan,6.0,10-15 km,3,1.0,1.0,384.0,112.0,500k-1M
Havelock St,t,Noel,Southern Metropolitan,6.0,10-15 km,3,1.0,2.0,228.0,126.0,500k-1M
Iris St,h,RW,Southern Metropolitan,6.0,10-15 km,5,4.0,2.0,643.0,380.0,2M-2.5M
McIntyre St,u,Buxton,Southern Metropolitan,6.0,10-15 km,3,1.0,2.0,308.0,92.0,500k-1M
Puerta St,h,Jellis,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,653.0,120.0,1.5M-2M
Pescott Cl,t,Jellis,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,399.0,212.0,1M-1.5M
Parer St,t,Noel,Southern Metropolitan,6.0,10-15 km,4,3.0,2.0,381.0,176.0,500k-1M
Brockhoff Dr,h,Barry,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,499.0,220.0,1M-1.5M
Alimar Ct,h,Buxton,Southern Metropolitan,6.0,10-15 km,4,2.0,3.0,739.0,182.0,1M-1.5M
McIntyre St,u,Lindellas,Southern Metropolitan,6.0,10-15 km,4,2.0,1.0,0.0,150.0,500k-1M
Highbury Rd,t,Barry,Southern Metropolitan,6.0,10-15 km,3,2.0,1.0,170.0,106.0,500k-1M
Brinsley Rd,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,2.0,1.0,652.0,189.0,2.5M-3M
Callanish Rd,u,Noel,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,137.0,87.0,500k-1M
Christowel St,h,Marshall,Southern Metropolitan,6.0,5-10 km,5,4.0,1.0,708.0,348.0,2.5M-3M
Valley Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,305.0,189.0,1.5M-2M
Inglesby Rd,u,Noel,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,1107.0,68.0,500k-1M
Radnor St,h,Jellis,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,706.0,164.0,1.5M-2M
Stodart St,u,RT,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,146.0,86.0,500k-1M
Thomas St,h,hockingstuart,Southern Metropolitan,6.0,5-10 km,3,2.0,1.0,777.0,154.0,1.5M-2M
Toorak Rd,u,Jellis,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,56.0,300k-500k
Russell St,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,2.0,2.0,600.0,232.0,2.5M-3M
Thomas St,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,1133.0,131.0,2M-2.5M
Warrigal Rd,u,LITTLE,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,896.0,77.0,300k-500k
Range St,h,Jellis,Southern Metropolitan,6.0,5-10 km,3,1.0,2.0,821.0,105.0,2M-2.5M
Through Rd,h,Fletchers,Southern Metropolitan,6.0,5-10 km,3,1.0,1.0,427.0,115.0,1M-1.5M
Grace St,h,Noel,Southern Metropolitan,6.0,5-10 km,3,1.0,1.0,544.0,160.0,1.5M-2M
Holly St,u,O'Donoghues,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,77.0,500k-1M
Warrigal Rd,u,LITTLE,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,896.0,77.0,300k-500k
Holly St,u,Jellis,Southern Metropolitan,6.0,5-10 km,3,1.0,1.0,0.0,89.0,500k-1M
Athelstan Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,5,2.0,4.0,730.0,3112.0,2.5M-3M
Gavan St,h,Fletchers,Southern Metropolitan,6.0,5-10 km,3,1.0,1.0,769.0,133.0,1.5M-2M
Ada St,h,O'Donoghues,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,656.0,225.0,2M-2.5M
Camberwell Rd,h,O'Donoghues,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,424.0,95.0,500k-1M
Cooloongatta Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,2.0,0.0,584.0,213.0,1.5M-2M
Hazel St,u,Jellis,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,150.0,88.0,500k-1M
Middle Rd,h,Jellis,Southern Metropolitan,6.0,5-10 km,5,3.0,2.0,802.0,317.0,2.5M-3M
Toorak Rd,u,Ross,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,76.0,500k-1M
Hollsmoor Rd,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,2.0,2.0,813.0,163.0,2M-2.5M
Wilson Gr,h,Lindellas,Southern Metropolitan,6.0,5-10 km,3,1.0,1.0,405.0,102.0,1.5M-2M
Smith Rd,h,Kay,Southern Metropolitan,6.0,5-10 km,3,1.0,2.0,635.0,130.0,2M-2.5M
Bowen St,h,Jellis,Southern Metropolitan,6.0,5-10 km,3,2.0,4.0,877.0,146.0,3M+
Hunter Rd,h,Fletchers,Southern Metropolitan,6.0,5-10 km,3,1.0,2.0,692.0,164.0,2M-2.5M
Judd St,t,Jellis,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,283.0,160.0,1.5M-2M
Waterloo St,h,Kay,Southern Metropolitan,6.0,5-10 km,3,3.0,2.0,417.0,220.0,3M+
Crescent Rd,u,Woodards,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,83.0,81.0,500k-1M
Kalang Rd,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,1.0,4.0,772.0,145.0,2M-2.5M
Nevis St,u,Marshall,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,631.0,75.0,500k-1M
Russell St,h,Marshall,Southern Metropolitan,6.0,5-10 km,4,3.0,1.0,632.0,270.0,3M+
Athelstan Rd,h,Weast,Southern Metropolitan,6.0,5-10 km,5,4.0,2.0,741.0,407.0,3M+
Hazel St,h,Marshall,Southern Metropolitan,6.0,5-10 km,5,3.0,2.0,603.0,282.0,2M-2.5M
Radnor St,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,2.0,2.0,686.0,210.0,2M-2.5M
Riversdale Rd,h,RT,Southern Metropolitan,6.0,5-10 km,4,3.0,1.0,0.0,257.0,2.5M-3M
Burke Rd,h,Noel,Southern Metropolitan,6.0,5-10 km,4,3.0,4.0,697.0,271.0,2M-2.5M
Derby St,h,Marshall,Southern Metropolitan,6.0,5-10 km,5,5.0,1.0,639.0,453.0,2M-2.5M
Kirkwood Dr,h,Fletchers,Southern Metropolitan,6.0,5-10 km,5,2.0,2.0,643.0,363.0,2.5M-3M
Irilbarra Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,4,2.0,2.0,687.0,215.0,2.5M-3M
Myrtle Rd,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,1.0,1.0,459.0,130.0,1.5M-2M
Valley Rd,u,Century,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,110.0,83.0,500k-1M
McGregor St,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,2.0,1.0,653.0,229.0,2M-2.5M
Rubens Gr,h,Jellis,Southern Metropolitan,6.0,5-10 km,5,2.0,2.0,795.0,297.0,2.5M-3M
Warburton Rd,h,Noel,Southern Metropolitan,6.0,5-10 km,3,3.0,2.0,468.0,148.0,2M-2.5M
Margaret St,h,Marshall,Southern Metropolitan,6.0,5-10 km,4,1.0,1.0,717.0,235.0,2.5M-3M
Dorothea St,h,Jellis,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,342.0,104.0,1M-1.5M
Daphne St,h,Fletchers,Southern Metropolitan,6.0,5-10 km,3,2.0,1.0,145.0,140.0,500k-1M
Byron St,h,Jellis,Southern Metropolitan,6.0,5-10 km,5,3.0,4.0,645.0,222.0,2.5M-3M
Compton St,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,2.0,3.0,812.0,173.0,2.5M-3M
Rochester Rd,u,Jellis,Southern Metropolitan,6.0,5-10 km,2,1.0,1.0,0.0,92.0,500k-1M
Dudley Pde,h,Jellis,Southern Metropolitan,6.0,5-10 km,5,2.0,4.0,838.0,282.0,2M-2.5M
Marden St,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,3.0,2.0,352.0,207.0,1.5M-2M
Warburton Rd,h,Fletchers,Southern Metropolitan,6.0,5-10 km,3,2.0,1.0,325.0,197.0,1.5M-2M
Highfield Rd,h,RT,Southern Metropolitan,6.0,5-10 km,5,4.0,4.0,684.0,427.0,3M+
Irilbarra Rd,h,Jellis,Southern Metropolitan,6.0,5-10 km,4,1.0,4.0,845.0,411.0,3M+
View St,h,Marshall,Southern Metropolitan,6.0,5-10 km,3,2.0,2.0,361.0,216.0,1.5M-2M
Myrtle Rd,h,RW,Southern Metropolitan,6.0,5-10 km,4,2.0,2.0,796.0,276.0,3M+
Newry St,h,Nelson,Northern Metropolitan,1.0,< 5 km,4,3.0,0.0,122.0,130.0,1M-1.5M
Drummond St,h,Chambers,Northern Metropolitan,1.0,< 5 km,3,1.0,2.0,499.0,164.0,2.5M-3M
Rathdowne St,h,Woodards,Northern Metropolitan,1.0,< 5 km,4,1.0,0.0,418.0,163.0,2M-2.5M
Fletcher La,h,Nelson,Northern Metropolitan,1.0,< 5 km,2,1.0,1.0,73.0,104.0,500k-1M
Drummond St,h,Ray,Northern Metropolitan,1.0,< 5 km,4,2.0,0.0,538.0,142.0,2.5M-3M
Station St,h,Kelly,Northern Metropolitan,1.0,< 5 km,2,2.0,0.0,413.0,172.0,2M-2.5M
Drummond St,h,Nelson,Northern Metropolitan,1.0,< 5 km,4,2.0,2.0,504.0,168.0,2.5M-3M
Fenwick St,h,Nelson,Northern Metropolitan,1.0,< 5 km,3,2.0,0.0,84.0,148.0,2M-2.5M
Amess St,h,Nelson,Northern Metropolitan,1.0,< 5 km,4,2.0,2.0,207.0,162.0,1.5M-2M
Lygon St,u,Nelson,Northern Metropolitan,1.0,< 5 km,1,1.0,1.0,0.0,56.0,300k-500k
Mary St,u,Nelson,Northern Metropolitan,1.0,< 5 km,2,1.0,1.0,0.0,86.0,500k-1M
Drummond St,u,hockingstuart,Northern Metropolitan,1.0,< 5 km,2,1.0,1.0,0.0,76.0,500k-1M
Moonya Rd,u,Ray,Southern Metropolitan,6.0,10-15 km,3,1.0,2.0,0.0,96.0,500k-1M
Truganini Rd,t,Gary,Southern Metropolitan,6.0,10-15 km,2,2.0,1.0,133.0,104.0,500k-1M
Moonya Rd,u,Woodards,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,73.0,61.0,500k-1M
Neerim Rd,h,hockingstuart,Southern Metropolitan,6.0,10-15 km,3,1.0,2.0,425.0,166.0,1M-1.5M
Emily St,u,Marshall,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,0.0,69.0,500k-1M
Moonya Rd,u,Woodards,Southern Metropolitan,6.0,10-15 km,1,1.0,1.0,60.0,48.0,300k-500k
Moonya Rd,t,Gary,Southern Metropolitan,6.0,10-15 km,3,2.0,1.0,1113.0,113.0,500k-1M
Anzac St,u,hockingstuart,Southern Metropolitan,6.0,10-15 km,2,1.0,2.0,0.0,100.0,500k-1M
Margaret St,h,Jellis,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,561.0,204.0,1.5M-2M
Moonya Rd,t,Gary,Southern Metropolitan,6.0,10-15 km,3,2.0,1.0,0.0,107.0,500k-1M
Neerim Rd,u,hockingstuart,Southern Metropolitan,6.0,10-15 km,2,1.0,2.0,0.0,67.0,500k-1M
Poplar Gr,u,Ray,Southern Metropolitan,6.0,10-15 km,1,1.0,1.0,0.0,50.0,0-300k
Judith St,u,Gary,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,0.0,70.0,300k-500k
Miller St,h,hockingstuart,Southern Metropolitan,6.0,10-15 km,2,1.0,2.0,299.0,115.0,500k-1M
Railway Rd,u,hockingstuart,Southern Metropolitan,6.0,10-15 km,1,1.0,1.0,0.0,33.0,300k-500k
Frogmore Rd,h,Woodards,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,751.0,40.0,1.5M-2M
Miller St,u,Woodards,Southern Metropolitan,6.0,10-15 km,3,2.0,1.0,300.0,130.0,1M-1.5M
Neville St,u,Woodards,Southern Metropolitan,6.0,10-15 km,3,1.0,2.0,0.0,170.0,1M-1.5M
Vine Gr,h,Gary,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,687.0,237.0,1.5M-2M
Woornack Rd,u,hockingstuart,Southern Metropolitan,6.0,10-15 km,1,1.0,1.0,0.0,34.0,0-300k
Oakleigh Rd,t,hockingstuart,Southern Metropolitan,6.0,10-15 km,2,2.0,1.0,166.0,170.0,500k-1M
Kokaribb Rd,u,Ray,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,0.0,56.0,300k-500k
Truganini Rd,h,hockingstuart,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,757.0,133.0,1.5M-2M
Nido Gr,t,Ray,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,144.0,96.0,500k-1M
Koornang Rd,u,hockingstuart,Southern Metropolitan,6.0,10-15 km,2,2.0,1.0,0.0,86.0,500k-1M
Longstaff St,h,Gary,Southern Metropolitan,6.0,10-15 km,4,2.0,1.0,598.0,201.0,1.5M-2M
Truganini Rd,t,Marshall,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,325.0,223.0,500k-1M
Arawatta St,h,Jellis,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,211.0,102.0,500k-1M
Lyons St,h,Ray,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,557.0,200.0,1M-1.5M
Mimosa Rd,t,Gary,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,158.0,106.0,500k-1M
Moonya Rd,h,Gary,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,0.0,90.0,500k-1M
Kokaribb Rd,u,Woodards,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,133.0,71.0,500k-1M
Mimosa Rd,u,Woodards,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,0.0,73.0,300k-500k
Moonya Rd,u,Woodards,Southern Metropolitan,6.0,10-15 km,3,2.0,1.0,283.0,250.0,500k-1M
Kokaribb Rd,u,Property,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,103.0,82.0,500k-1M
Kokaribb Rd,h,hockingstuart,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,264.0,110.0,500k-1M
Maroona Rd,u,hockingstuart,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,0.0,64.0,300k-500k
Woornack Rd,u,hockingstuart,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,174.0,80.0,500k-1M
Coorigil Rd,h,Woodards,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,282.0,182.0,1M-1.5M
Huberts Rd,u,hockingstuart,Southern Metropolitan,6.0,10-15 km,1,1.0,1.0,0.0,53.0,300k-500k
Elimatta Rd,h,Ray,Southern Metropolitan,6.0,10-15 km,3,2.0,2.0,603.0,166.0,1M-1.5M
Edgewood St,h,Gary,Southern Metropolitan,6.0,10-15 km,3,2.0,1.0,371.0,167.0,1M-1.5M
Oakleigh Rd,h,Ray,Southern Metropolitan,6.0,10-15 km,3,1.0,1.0,604.0,120.0,1M-1.5M
Rosstown Rd,u,Matthew,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,967.0,72.0,300k-500k
Truganini Rd,h,Marshall,Southern Metropolitan,6.0,10-15 km,4,2.0,2.0,595.0,221.0,1.5M-2M
Yendon Rd,t,Gary,Southern Metropolitan,6.0,10-15 km,3,1.0,1.0,111.0,116.0,500k-1M
Coorigil Rd,u,Thomson,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,0.0,68.0,300k-500k
Neville St,h,Private/Tiernan's,Southern Metropolitan,6.0,10-15 km,4,2.0,3.0,932.0,270.0,1.5M-2M
Moonya Rd,u,Australian,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,108.0,67.0,500k-1M
Oakleigh Rd,u,Anderson,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,0.0,72.0,300k-500k
Woornack Rd,t,Buxton,Southern Metropolitan,6.0,10-15 km,3,1.0,2.0,277.0,135.0,500k-1M
Coorigil Rd,u,Woodards,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,0.0,70.0,500k-1M
Blackwood St,h,hockingstuart,Southern Metropolitan,6.0,10-15 km,4,3.0,2.0,454.0,275.0,1.5M-2M
Gnarwyn Rd,u,Buxton,Southern Metropolitan,6.0,10-15 km,2,1.0,1.0,99.0,98.0,500k-1M
